"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
628,"NCT01132872","PET Whole Body Distribution Studies Using [11C]CUMI",,"Completed","No Results Available","Depression|Major Depression|Unipolar Depression|Anxiety Disorder|Anxiety Disorders","","","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","18 Years to 65 Years   (Adult, Older Adult)","","12","NIH","Observational","Time Perspective: Prospective","100110|10-M-0110","April 30, 2010","null","April 12, 2012","May 28, 2010","null","July 2, 2017","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT01132872"
629,"NCT01719497","Imaging of Cannabinoid 1 Receptors Using [11C]OMAR and PET",,"Active, not recruiting","No Results Available","Obesity|Alcohol Dependence|High Stress","Drug: [C-11]OMAR","No outcome measures for this study, this is an imaging study only","Yale University","All","18 Years to 50 Years   (Adult)","","120","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","0906005296","June 2009","June 2015","June 2019","November 1, 2012","null","July 4, 2018","Yale University School of Medicine, New Haven, Connecticut, United States","","https://ClinicalTrials.gov/show/NCT01719497"
630,"NCT00108056","Enzastaurin to Treat Recurrent Brain Tumor",,"Terminated","No Results Available","Glioma","Drug: Enzastaurin (LY317615) monohydronchloride","To establish the maximally tolerated dose of enzastaurin in patients with refractory primary brain tumors not on any enzyme-inducing anti-epileptic drugs (EIAED) and for patients on EIAEDs.","National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)","All","18 Years and older   (Adult, Older Adult)","Phase 1","26","NIH","Interventional","Primary Purpose: Treatment","050136|05-C-0136","April 7, 2005","April 1, 2014","April 1, 2014","April 13, 2005","null","August 17, 2018","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT00108056"
631,"NCT01835652","The Effects of Exercise in Parkinson's Disease","PET","Completed","No Results Available","Parkinson Disease 10","Other: Active Exercise|Other: Passive Exercise","PET|fMRI","Pacific Parkinson's Research Centre","All","40 Years to 70 Years   (Adult, Older Adult)","Not Applicable","18","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Basic Science","H13-00276","April 2013","March 2015","March 2015","April 19, 2013","null","May 12, 2015","Pacific Parkinson's Research Centre, Vancouver, British Columbia, Canada","","https://ClinicalTrials.gov/show/NCT01835652"
632,"NCT03121118","Return of Amyloid Imaging Results (Result Study)",,"Enrolling by invitation","No Results Available","Mild Cognitive Impairment","Other: Scan Opportunity","Understanding of mild cognitive impairment as a potential precursor to dementia--knowledge|Understanding of mild cognitive impairment as a potential precursor to dementia-Coherence|Perceived efficacy to cope with mild cognitive impairment as a potential precursor to dementia","University of Pittsburgh","All","18 Years and older   (Adult, Older Adult)","","80","Other","Observational","Observational Model: Other|Time Perspective: Prospective","PRO13100338","September 17, 2014","December 31, 2018","September 30, 2019","April 19, 2017","null","March 13, 2018","","","https://ClinicalTrials.gov/show/NCT03121118"
633,"NCT02289118","Tau Imaging in Young Onset Dementia",,"Active, not recruiting","No Results Available","Alzheimer's Disease, Early Onset|Logopenic Progressive Aphasia|Posterior Cortical Atrophy (PCA)","Drug: [18F]-T807 imaging tracer","Determine and compare the similarities and differences in regional brain uptake of [18F]T807 by using standardized uptake value ratio (SUVr) in patients with typical AD, PCA and lvPPA|Correlate patterns of [18F]T807 binding based on standardized uptake value ratio (SUVr) with MRI-based regional volumetric (mm3) and cortical thickness (mm) measures|Correlate CSF markers of amyloid (Aβ1-42) and/or tau (total tau, phospho-tau) pathology (pg/mL) to uptake of [18F]T807 based on standardized uptake value ratio (SUVr).|Correlate [18F]T807 binding based on standardized uptake value ratio (SUVr) with standard cognitive tests.","University of Pennsylvania","All","45 Years to 70 Years   (Adult, Older Adult)","Not Applicable","16","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","820665","November 2014","December 2018","January 31, 2019","November 13, 2014","null","January 26, 2018","University of Pennsylvania, Philadelphia, Pennsylvania, United States","","https://ClinicalTrials.gov/show/NCT02289118"
634,"NCT03414333","To Determine the Effect of GLP1 on Cognitive Function, Brain Glucose Metabolism and Neuroplasticity.",,"Completed","No Results Available","Glucose Metabolism Disorders|Obesity|Degenerative Brain Disorder","Procedure: RYGB|Drug: GLP-1","sustained Weight Loss|glycemic Control","University of Pisa","All","18 Years to 60 Years   (Adult)","Not Applicable","14","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PRA 2016","June 29, 2016","June 2017","June 2018","January 29, 2018","null","July 19, 2018","Dept.Clinical and Experimental Medicine.Section of Diabetes., Pisa, Italy","","https://ClinicalTrials.gov/show/NCT03414333"
635,"NCT00001478","Effects of Drugs on Cerebral Blood Flow in Patients With Mood Disorders",,"Completed","No Results Available","Healthy|Mood Disorders","","","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","Child, Adult, Older Adult","","170","NIH","Observational","","950016|95-M-0016","October 1994","null","January 2001","December 10, 2002","null","March 4, 2008","National Institute of Mental Health (NIMH), Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT00001478"
636,"NCT00795288","Statins and Cerebral Blood Flow in Subarachnoid Hemorrhage (SAH)",,"Completed","Has Results","Subarachnoid Hemorrhage","Drug: Simvastatin, 80 mg/day for 21 days|Drug: placebo","Resting Cerebral Blood Flow During Peak Period of Vasospasm Risk|Cerebral Autoregulation During Peak Period of Vasospasm Risk|Impact of Statin on Oxygen Extraction Fraction and Cerebral Metabolism During Peak Period of Vasospasm Risk","Washington University School of Medicine","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","42","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","3857 - 54118B","August 2008","February 2013","December 2013","November 21, 2008","January 16, 2015","March 21, 2016","Washington Univeristy, ST Louis, Missouri, United States","","https://ClinicalTrials.gov/show/NCT00795288"
637,"NCT01999530","The Effects of Prazosin on Dopamine in Healthy Humans: A PET Pilot Study",,"Completed","No Results Available","Healthy","Drug: Prazosin Hydrochloride","Changes in [11C]-(+)-PHNO binding","Centre for Addiction and Mental Health|Ontario Lung Association|Pfizer","All","19 Years to 45 Years   (Adult)","Phase 1","7","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","224/2012","November 2013","August 2016","August 2016","December 3, 2013","null","October 24, 2017","Centre for Addiction and Mental Health, Toronto, Ontario, Canada","","https://ClinicalTrials.gov/show/NCT01999530"
638,"NCT00249847","Study of PET Scans and Serotonin in Hot Flashes Treatment",,"Terminated","No Results Available","Hot Flashes","Drug: Paroxetine controlled-release|Drug: Conjugated equine estrogen","To estimate the proportion of women who have a 50% or greater reduction in frequency of hot flashes following 4 weeks of paroxetine or conjugated equine estrogen.|To evaluate baseline and change in binding of the serotonin transporter in postmenopausal women who suffer hot flashes before and after 4 weeks of paroxetine or conjugated equine estrogen using PET.|To correlate baseline and change in binding of the serotonin transporter using PET with reduction of hot flashes after 4 weeks of conjugated equine estrogen or paroxetine.","Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","5","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SKCCC J0360","October 2005","July 2007","April 2008","November 7, 2005","null","October 2, 2014","Johns Hopkins University School of Medicine, Baltimore, Maryland, United States","","https://ClinicalTrials.gov/show/NCT00249847"
639,"NCT01287819","Apolipoprotein E Gene and Functional MRI","fMRI","Unknown status","No Results Available","Dementia","","amyloid load by amyloid-PET examination","Taipei Medical University Shuang Ho Hospital|Chang Gung Memorial Hospital","All","45 Years to 65 Years   (Adult, Older Adult)","","200","Other","Observational","Observational Model: Case Control|Time Perspective: Cross-Sectional","CRC-12-10-04","May 2012","April 2013","June 2013","February 1, 2011","null","October 19, 2012","Chaur-Jong Hu, New Taipei City, Taiwan","","https://ClinicalTrials.gov/show/NCT01287819"
640,"NCT02945826","uPAR-PET/MRI in Glioblastoma Multiforme",,"Recruiting","No Results Available","Glioblastoma Multiforme","Drug: One injection of 68Ga-NOTA-AE105|Device: PET/MRI","uPAR PET/MRI imaging of uPAR expression|uPAR PET/MRI prognostic factor for overall survival|uPAR PET/MRI prognostic factor for progression free survival","Rigshospitalet, Denmark","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 2","35","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","AK2016-2|2016-002417-21","January 2017","December 2020","December 2020","October 26, 2016","null","April 10, 2018","Department of Clinical Physiology, Nuclear Medicine and PET, Rigshospitalet, Copenhagen, Denmark","","https://ClinicalTrials.gov/show/NCT02945826"
641,"NCT02238769","18F-FluoroethylCholine Positron Emission Tomography: a Promising Diagnostic Tool for Hepatocellular Carcinoma",,"Unknown status","No Results Available","Hepatocellular Carcinoma","Device: 18F-FluoroethylCholine PET","SUVratio of FECH PET|Patients' lifespan","Peking Union Medical College Hospital","All","18 Years to 80 Years   (Adult, Older Adult)","","80","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","FECH-PET-2014","July 2014","October 2015","October 2017","September 12, 2014","null","September 12, 2014","Department of liver surgery; Peking Union Medical College Hospital, Beijing, Beijing, China","","https://ClinicalTrials.gov/show/NCT02238769"
642,"NCT01409564","Cilostazol Augmentation Study in Dementia",,"Completed","Has Results","Alzheimer's Dementia","Drug: Cilostazol|Drug: Placebo","Regionally Averaged Cerebral Glucose Uptake Changes Measured by FDG PET Uptake With Voxel-based Method|Alzheimer's Disease Assessment Scale-Cognitive Subscale (ADAS-cog)|Mini-Mental State Examination (MMSE) in the Korean Version of the CERAD Assessment Packet)|Activities of Daily Living (ADCS-ADL)|Clinical Dementia Rating Scale-Sum of Boxes (CDR-SB)|Fazekas Scale","Seoul National University Hospital|Korea OIAA","All","60 Years and older   (Adult, Older Adult)","Phase 4","46","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","06-2009-145","May 2010","June 2012","July 2013","August 4, 2011","May 13, 2014","May 13, 2014","SMG-SNU Boramae Medical Center, Seoul, Korea, Republic of","","https://ClinicalTrials.gov/show/NCT01409564"
643,"NCT01735032","Multimodal Imaging in Pre-surgical Evaluation of Epilepsy","EPIMAGE","Unknown status","No Results Available","Partial Epilepsy","","Localizing value of MEG, FDG-PET and MRI for the determination of the Epileptogenic Zone defined by SEEG recordings|sensitivity and specificity","Hospices Civils de Lyon","All","18 Years to 65 Years   (Adult, Older Adult)","","140","Other","Observational","","2011-703","October 2012","November 2012","May 2016","November 28, 2012","null","November 30, 2012","Hospices Civils de Lyon, Lyon, France","","https://ClinicalTrials.gov/show/NCT01735032"
644,"NCT02752178","Peripheral Immunomarker Validation in Treatment-resistant Depression","BIODEP","Recruiting","No Results Available","Depressive Disorder, Major","Other: MA|Other: DEP","C-reactive protein (CRP) levels (mg/l)|Flow cytometric immunophenotype|Structural parameters of the brain|Response to stimulus|Microglial activation in the brain|Pro-inflammatory (M1-like) phenotype-producing cytokines, such as interleukin (IL)-1, IL-6, and tumor necrosis factor (TNF)-α circulating in cerebrospinal fluid","University of Cambridge|University of Oxford|University of Glasgow|University of Sussex|King's College London|Janssen, LP|H. Lundbeck A/S|GlaxoSmithKline","All","25 Years to 50 Years   (Adult)","","250","Other|Industry","Observational","Observational Model: Case-Control|Time Perspective: Prospective","15/EE/0092","June 2015","June 2018","December 2018","April 26, 2016","null","January 23, 2018","University of Sussex, Brighton, United Kingdom|University of Cambridge, Cambridge, United Kingdom|University of Glasgow, Glasgow, United Kingdom|King's College London, London, United Kingdom|University of Oxford, Oxford, United Kingdom","","https://ClinicalTrials.gov/show/NCT02752178"
